gene_symbol	n_cohorts_detected	cohorts_detected	meta_direction	meta_beta	meta_se	meta_z	meta_p_value	meta_fdr	n_nominal_p_lt_0_05	n_fdr_lt_0_10	n_case_up_cohorts	n_case_down_cohorts	direction_consistency	leave_one_cohort_out_tested	leave_one_cohort_out_replicated	leave_one_cohort_out_replication_rate	leave_one_cohort_out_details	heterogeneity_q	heterogeneity_i2	tau_sq	heterogeneity_flag	effects_by_cohort	p_values_by_cohort	fdr_by_cohort
CHCHD10	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1640736361171353	0.0366234369608649	-4.480017435077469	7.463694222710818e-06	0.2547993973892619	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.18963,discovery_mean=-0.21147);GSE111010_JSS:match(heldout=-0.15249,discovery_mean=-0.22386);GSE111016_SSS:match(heldout=-0.15817,discovery_mean=-0.22196);GSE226151:match(heldout=-0.32377,discovery_mean=-0.16676)	0.501160450253148	0.0	0.0	False	GSE111006_HSS:-0.189629;GSE111010_JSS:-0.152485;GSE111016_SSS:-0.158169;GSE226151:-0.32377	GSE111006_HSS:0.175659;GSE111010_JSS:0.454884;GSE111016_SSS:0.000265566;GSE226151:0.187013	GSE111006_HSS:0.728727;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.621678
CLTB	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1448129641888367	0.0335799005050109	-4.312489376412146	1.6142664120240225e-05	0.2547993973892619	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.12945,discovery_mean=-0.18307);GSE111010_JSS:match(heldout=-0.12389,discovery_mean=-0.18493);GSE111016_SSS:match(heldout=-0.14478,discovery_mean=-0.17796);GSE226151:match(heldout=-0.28055,discovery_mean=-0.13271)	0.4418169651893001	0.0	0.0	False	GSE111006_HSS:-0.129448;GSE111010_JSS:-0.12389;GSE111016_SSS:-0.144777;GSE226151:-0.280552	GSE111006_HSS:0.142408;GSE111010_JSS:0.456007;GSE111016_SSS:0.000509551;GSE226151:0.203156	GSE111006_HSS:0.698567;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.628547
CCDC28B	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.2158032413878082	0.0530481473834882	-4.068063674830216	4.7405428584887744e-05	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.19935,discovery_mean=-0.1893);GSE111010_JSS:match(heldout=-0.11017,discovery_mean=-0.21903);GSE111016_SSS:match(heldout=-0.24718,discovery_mean=-0.17336);GSE226151:match(heldout=-0.21056,discovery_mean=-0.18557)	0.476837922374485	0.0	0.0	False	GSE111006_HSS:-0.199352;GSE111010_JSS:-0.110166;GSE111016_SSS:-0.247185;GSE226151:-0.210564	GSE111006_HSS:0.0278289;GSE111010_JSS:0.586713;GSE111016_SSS:0.0033354;GSE226151:0.226796	GSE111006_HSS:0.509161;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.643935
DYNLL2	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1372758510655519	0.0344577920469088	-3.983884135079598	6.779793781915498e-05	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.18839,discovery_mean=-0.1008);GSE111010_JSS:match(heldout=-0.046265,discovery_mean=-0.14817);GSE111016_SSS:match(heldout=-0.13427,discovery_mean=-0.11884);GSE226151:match(heldout=-0.12186,discovery_mean=-0.12297)	0.6594324214644305	0.0	0.0	False	GSE111006_HSS:-0.188388;GSE111010_JSS:-0.0462649;GSE111016_SSS:-0.134267;GSE226151:-0.121865	GSE111006_HSS:0.0399558;GSE111010_JSS:0.788756;GSE111016_SSS:0.00305807;GSE226151:0.190193	GSE111006_HSS:0.539975;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.6237
GTF2F2	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1607752945154579	0.0404128307155398	-3.978323014468658	6.940304391998017e-05	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.15954,discovery_mean=-0.17287);GSE111010_JSS:match(heldout=-0.1937,discovery_mean=-0.16149);GSE111016_SSS:match(heldout=-0.11426,discovery_mean=-0.18797);GSE226151:match(heldout=-0.21067,discovery_mean=-0.15583)	1.0796127999455434	0.0	0.0	False	GSE111006_HSS:-0.159536;GSE111010_JSS:-0.193695;GSE111016_SSS:-0.114259;GSE226151:-0.21067	GSE111006_HSS:0.253536;GSE111010_JSS:0.0229765;GSE111016_SSS:0.073378;GSE226151:0.0185048	GSE111006_HSS:0.783099;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.495387
PLEKHJ1	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1703046508925441	0.042868082007756	-3.9727611527320303	7.104427804885467e-05	0.303148437505163	1	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.15427,discovery_mean=-0.15981);GSE111010_JSS:match(heldout=-0.070786,discovery_mean=-0.18763);GSE111016_SSS:match(heldout=-0.17925,discovery_mean=-0.15148);GSE226151:match(heldout=-0.22939,discovery_mean=-0.13477)	0.5327994177418781	0.0	0.0	False	GSE111006_HSS:-0.154269;GSE111010_JSS:-0.0707859;GSE111016_SSS:-0.179246;GSE226151:-0.229386	GSE111006_HSS:0.125392;GSE111010_JSS:0.67443;GSE111016_SSS:0.00143022;GSE226151:0.192349	GSE111006_HSS:0.67817;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.6237
EIF2B3	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1120211661134819	0.0284323347484895	-3.939921469848088	8.150828610415176e-05	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.035626,discovery_mean=-0.14138);GSE111010_JSS:match(heldout=-0.13571,discovery_mean=-0.10802);GSE111016_SSS:match(heldout=-0.11323,discovery_mean=-0.11552);GSE226151:match(heldout=-0.17521,discovery_mean=-0.094855)	2.066500127507159	0.0	0.0	False	GSE111006_HSS:-0.0356255;GSE111010_JSS:-0.135711;GSE111016_SSS:-0.113229;GSE226151:-0.17521	GSE111006_HSS:0.592766;GSE111010_JSS:0.0157971;GSE111016_SSS:0.0155811;GSE226151:0.0556245	GSE111006_HSS:0.919891;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.561166
TIMM17A	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1459220443536113	0.0375260751180947	-3.888550664954809	0.0001008446207302	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.20507,discovery_mean=-0.11284);GSE111010_JSS:match(heldout=-0.028089,discovery_mean=-0.17183);GSE111016_SSS:match(heldout=-0.15426,discovery_mean=-0.12977);GSE226151:match(heldout=-0.15616,discovery_mean=-0.12914)	2.012162314056352	0.0	0.0	False	GSE111006_HSS:-0.20507;GSE111010_JSS:-0.0280885;GSE111016_SSS:-0.154258;GSE226151:-0.156165	GSE111006_HSS:0.0209566;GSE111010_JSS:0.774928;GSE111016_SSS:0.0113003;GSE226151:0.0537289	GSE111006_HSS:0.486155;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.558041
MRPS15	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.1364909155645964	0.0354852162343933	-3.8464163403436022	0.0001198580295964	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.086187,discovery_mean=-0.15798);GSE111010_JSS:match(heldout=-0.057328,discovery_mean=-0.1676);GSE111016_SSS:match(heldout=-0.14688,discovery_mean=-0.13775);GSE226151:match(heldout=-0.26974,discovery_mean=-0.096799)	2.081301312641567	0.0	0.0	False	GSE111006_HSS:-0.0861867;GSE111010_JSS:-0.0573279;GSE111016_SSS:-0.146882;GSE226151:-0.269741	GSE111006_HSS:0.30431;GSE111010_JSS:0.611563;GSE111016_SSS:0.00221322;GSE226151:0.0368432	GSE111006_HSS:0.809632;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.542379
CYSTM1	4	GSE111006_HSS,GSE111010_JSS,GSE111016_SSS,GSE226151	case_down	-0.2081546613822015	0.0551657609725485	-3.7732582259815617	0.0001611293624621	0.303148437505163	2	0	0	4	1.0	4	4	1.0	GSE111006_HSS:match(heldout=-0.2393,discovery_mean=-0.20944);GSE111010_JSS:match(heldout=-0.16409,discovery_mean=-0.23451);GSE111016_SSS:match(heldout=-0.1741,discovery_mean=-0.23118);GSE226151:match(heldout=-0.29013,discovery_mean=-0.1925)	0.7540930892636524	0.0	0.0	False	GSE111006_HSS:-0.239303;GSE111010_JSS:-0.164091;GSE111016_SSS:-0.174101;GSE226151:-0.290132	GSE111006_HSS:0.066753;GSE111010_JSS:0.3296;GSE111016_SSS:0.0318714;GSE226151:0.0260286	GSE111006_HSS:0.594363;GSE111010_JSS:0.999436;GSE111016_SSS:0.894611;GSE226151:0.514652
